ID,Type,Year,Quarter,HFCE (in million pesos),GVA (in million pesos)
1,Food and non-alcoholic beverages,2000,Q1,423665,88010
2,Food and non-alcoholic beverages,2000,Q2,449587,88010
3,Food and non-alcoholic beverages,2000,Q3,450837,88010
4,Food and non-alcoholic beverages,2000,Q4,535605,88010
5,Food and non-alcoholic beverages,2001,Q1,437333,89145
6,Food and non-alcoholic beverages,2001,Q2,462179,94706
7,Food and non-alcoholic beverages,2001,Q3,469641,86469
8,Food and non-alcoholic beverages,2001,Q4,549649,95587
9,Food and non-alcoholic beverages,2002,Q1,448135,91689
10,Food and non-alcoholic beverages,2002,Q2,486702,97367
11,Food and non-alcoholic beverages,2002,Q3,489892,89680
12,Food and non-alcoholic beverages,2002,Q4,582316,98521
13,Food and non-alcoholic beverages,2003,Q1,477252,93035
14,Food and non-alcoholic beverages,2003,Q2,520162,97915
15,Food and non-alcoholic beverages,2003,Q3,524456,92709
16,Food and non-alcoholic beverages,2003,Q4,620646,101905
17,Food and non-alcoholic beverages,2004,Q1,511668,98238
18,Food and non-alcoholic beverages,2004,Q2,546098,104987
19,Food and non-alcoholic beverages,2004,Q3,557059,98764
20,Food and non-alcoholic beverages,2004,Q4,660502,102974
21,Food and non-alcoholic beverages,2005,Q1,548599,103561
22,Food and non-alcoholic beverages,2005,Q2,584155,108073
23,Food and non-alcoholic beverages,2005,Q3,588139,99365
24,Food and non-alcoholic beverages,2005,Q4,689083,104195
25,Food and non-alcoholic beverages,2006,Q1,568915,106893
26,Food and non-alcoholic beverages,2006,Q2,616342,113052
27,Food and non-alcoholic beverages,2006,Q3,609338,104132
28,Food and non-alcoholic beverages,2006,Q4,723959,109051
29,Food and non-alcoholic beverages,2007,Q1,583249,110747
30,Food and non-alcoholic beverages,2007,Q2,642173,113898
31,Food and non-alcoholic beverages,2007,Q3,624806,109104
32,Food and non-alcoholic beverages,2007,Q4,769100,113284
33,Food and non-alcoholic beverages,2008,Q1,612423,116295
34,Food and non-alcoholic beverages,2008,Q2,659462,122233
35,Food and non-alcoholic beverages,2008,Q3,653092,114443
36,Food and non-alcoholic beverages,2008,Q4,802253,119391
37,Food and non-alcoholic beverages,2009,Q1,615292,121836
38,Food and non-alcoholic beverages,2009,Q2,692122,134980
39,Food and non-alcoholic beverages,2009,Q3,668043,124649
40,Food and non-alcoholic beverages,2009,Q4,834585,118040
41,Food and non-alcoholic beverages,2010,Q1,639868,127202
42,Food and non-alcoholic beverages,2010,Q2,705532,141846
43,Food and non-alcoholic beverages,2010,Q3,675545,120435
44,Food and non-alcoholic beverages,2010,Q4,878615,117517
45,Food and non-alcoholic beverages,2011,Q1,677040,128932
46,Food and non-alcoholic beverages,2011,Q2,745151,144947
47,Food and non-alcoholic beverages,2011,Q3,738870,123036
48,Food and non-alcoholic beverages,2011,Q4,912114,123436
